===========================================
PNG TO JPG CONVERSION REPORT
Date: 2025년 8월 25일 월요일 12시 30분 37초 KST
===========================================
material/APEC logo_2.png: PNG .01MB → JPG .01MB (saved 0MB, -12.5%)
material/[2025 서밋] 참가자프로필 라운드 /박인원_인비저닝_프로필라운드.png: PNG 18.38MB → JPG 2.02MB (saved 16.36MB, 88.9%)
material/[2025 서밋] 참가자프로필 라운드 /노준우_위즈아이_프로필라운드.png: PNG 8.91MB → JPG 2.41MB (saved 6.50MB, 72.8%)
material/[2025 서밋] 참가자프로필 라운드 /김원태_카카오데이터센터_프로필라운드.png: PNG 4.77MB → JPG 1.65MB (saved 3.12MB, 65.3%)
material/[2025 서밋] 참가자프로필 라운드 /Angela Tay_AgFunder_프로필라운드.png: PNG 22.23MB → JPG 2.89MB (saved 19.34MB, 86.9%)
material/[2025 서밋] 참가자프로필 라운드 /이정환_슬로우뉴스_프로필라운드.png: PNG 6.06MB → JPG 1.77MB (saved 4.29MB, 70.7%)
material/[2025 서밋] 참가자프로필 라운드 /서대규_빅모빌리티_프로필라운드.png: PNG 11.35MB → JPG 1.38MB (saved 9.97MB, 87.7%)
material/[2025 서밋] 참가자프로필 라운드 /최유나_아산나눔재단_프로필라운드.png: PNG 16.61MB → JPG 2.17MB (saved 14.44MB, 86.9%)
material/[2025 서밋] 참가자프로필 라운드 /조남석_무인탐사연구소.png: PNG 2.82MB → JPG 1.01MB (saved 1.81MB, 63.9%)
material/[2025 서밋] 참가자프로필 라운드 /최진호_TGI_프로필라운드.png: PNG 3.39MB → JPG 1.44MB (saved 1.95MB, 57.3%)
material/[2025 서밋] 참가자프로필 라운드 /Penny Freer_APventures_프로필 라운드.png: PNG .30MB → JPG .35MB (saved -.05MB, -13.6%)
material/[2025 서밋] 참가자프로필 라운드 /김현대_한국사회가치연대기금_프로필라운드.png: PNG 5.60MB → JPG 2.03MB (saved 3.57MB, 63.7%)
material/[2025 서밋] 참가자프로필 라운드 /박재성_국회 최형두 의원실_프로필라운드.png: PNG 4.76MB → JPG 1.95MB (saved 2.81MB, 58.9%)
material/[2025 서밋] 참가자프로필 라운드 /안재태_국회(최형두의원실보과관)_프로필라운드.png: PNG 8.72MB → JPG 2.07MB (saved 6.65MB, 76.1%)
material/[2025 서밋] 참가자프로필 라운드 /윤슬기_서울대 기후테크센터_프로필라운드.png: PNG 4.65MB → JPG 1.55MB (saved 3.10MB, 66.5%)
material/[2025 서밋] 참가자프로필 라운드 /홍준선_Airmyne_프로필라운드.png: PNG 14.65MB → JPG 2.65MB (saved 12.00MB, 81.8%)
material/[2025 서밋] 참가자프로필 라운드 /박홍익_브이피피랩_프로필라운드.png: PNG 3.89MB → JPG 1.48MB (saved 2.41MB, 61.8%)
material/[2025 서밋] 참가자프로필 라운드 /노지훈_솔라파트너스_프로필라운드.png: PNG 16.28MB → JPG 1.75MB (saved 14.53MB, 89.2%)
material/[2025 서밋] 참가자프로필 라운드 /제현주_인비저닝파트너스_프로필라운드.png: PNG 4.48MB → JPG 1.30MB (saved 3.18MB, 70.9%)
material/[2025 서밋] 참가자프로필 라운드 /신민철_토마인베스트먼트_프로필라운드.png: PNG 6.65MB → JPG 1.89MB (saved 4.76MB, 71.5%)
material/[2025 서밋] 참가자프로필 라운드 /홍지애_소풍벤처스_프로필라운드.png: PNG 10.81MB → JPG 2.19MB (saved 8.62MB, 79.7%)
material/[2025 서밋] 참가자프로필 라운드 /김이레_(사)우리들의 미래_프로필라운드.png: PNG 2.86MB → JPG 1.22MB (saved 1.64MB, 57.4%)
material/[2025 서밋] 참가자프로필 라운드 /RoyTorbert_ThirdDerivative_프로필라운드.png: PNG 6.24MB → JPG 1.34MB (saved 4.90MB, 78.4%)
material/[2025 서밋] 참가자프로필 라운드 /함일한_에이치에너지_프로필라운드.png: PNG 5.84MB → JPG 1.49MB (saved 4.35MB, 74.4%)
material/[2025 서밋] 참가자프로필 라운드 /지현석_소풍벤처스.png: PNG 10.66MB → JPG 1.62MB (saved 9.04MB, 84.8%)
material/[2025 서밋] 참가자프로필 라운드 /이병선_제주경제창조혁신센터_프로필라운드.png: PNG 8.99MB → JPG 2.34MB (saved 6.65MB, 73.8%)
material/[2025 서밋] 참가자프로필 라운드 /김경욱_위드위_프로필라운드.png: PNG 5.61MB → JPG 1.69MB (saved 3.92MB, 69.8%)
material/[2025 서밋] 참가자프로필 라운드 /김윤정_창업진흥원_프로필라운드.png: PNG 8.33MB → JPG 2.35MB (saved 5.98MB, 71.8%)
material/[2025 서밋] 참가자프로필 라운드 /윤신영_과학저널리스트_프로필라운드.png: PNG 6.39MB → JPG 1.29MB (saved 5.10MB, 79.7%)
material/[2025 서밋] 참가자프로필 라운드 /이탄희_법무법인덕수_프로필라운드.png: PNG .37MB → JPG .41MB (saved -.04MB, -11.4%)
material/[2025 서밋] 참가자프로필 라운드 /이정민_리빗_프로필라운드.png: PNG 4.62MB → JPG 1.50MB (saved 3.12MB, 67.3%)
material/[2025 서밋] 참가자프로필 라운드 /최근형_루트임팩트_프로필라운드.png: PNG .57MB → JPG .64MB (saved -.07MB, -12.1%)
material/[2025 서밋] 참가자프로필 라운드 /안양순_제스프리프레쉬프로듀스코리아(유)_프로필라운드.png: PNG 19.14MB → JPG 3.45MB (saved 15.69MB, 81.9%)
material/[2025 서밋] 참가자프로필 라운드 /유서영_소풍벤처스_프로필라운드.png: PNG 20.19MB → JPG 2.53MB (saved 17.66MB, 87.4%)
material/[2025 서밋] 참가자프로필 라운드 /류광남_뉴톤주식회사_프로필라운드.png: PNG 10.39MB → JPG 2.21MB (saved 8.18MB, 78.6%)
material/[2025 서밋] 참가자프로필 라운드 /김희영_소풍커넥트_프로필리운드.png: PNG 22.05MB → JPG 2.43MB (saved 19.62MB, 88.9%)
material/[2025 서밋] 참가자프로필 라운드 /박병규_시소_프로필라운드.png: PNG 4.37MB → JPG 1.41MB (saved 2.96MB, 67.7%)
material/[2025 서밋] 참가자프로필 라운드 /양유정_라우텍케이알_프로필라운드.png: PNG 3.76MB → JPG 1.33MB (saved 2.43MB, 64.6%)
material/[2025 서밋] 참가자프로필 라운드 /이옥형_유진투자증권_프로필라운드.png: PNG 7.19MB → JPG 2.45MB (saved 4.74MB, 65.8%)
material/[2025 서밋] 참가자프로필 라운드 /명광민_DI LAB.png: PNG 11.85MB → JPG 2.52MB (saved 9.33MB, 78.7%)
material/[2025 서밋] 참가자프로필 라운드 /조대현_아시아기후변화투자자그룹_프로필라운드.png: PNG 3.30MB → JPG 1.33MB (saved 1.97MB, 59.5%)
material/[2025 서밋] 참가자프로필 라운드 /강해나_주한영국대사관_프로필라운드.png: PNG 4.61MB → JPG 1.65MB (saved 2.96MB, 64.1%)
material/[2025 서밋] 참가자프로필 라운드 /은기환_한화자산운용한화그린히어로펀드_프로필라운드.png: PNG 12.07MB → JPG 2.72MB (saved 9.35MB, 77.4%)
material/[2025 서밋] 참가자프로필 라운드 /남재작_한국정밀농업연구소_프로필라운드.png: PNG 7.20MB → JPG 2.39MB (saved 4.81MB, 66.7%)
material/[2025 서밋] 참가자프로필 라운드 /김종현_섬이다_프로필라운드.png: PNG 6.06MB → JPG 2.21MB (saved 3.85MB, 63.5%)
material/[2025 서밋] 참가자프로필 라운드 /정희정_국회사무처_프로필라운드.png: PNG 3.33MB → JPG 1.27MB (saved 2.06MB, 61.7%)
material/[2025 서밋] 참가자프로필 라운드 /김동환_42마루_프로필라운드.png: PNG 6.89MB → JPG 2.03MB (saved 4.86MB, 70.4%)
material/[2025 서밋] 참가자프로필 라운드 /이호준_한국그린데이터_프로필라운드.png: PNG 6.15MB → JPG 2.05MB (saved 4.10MB, 66.5%)
material/[2025 서밋] 참가자프로필 라운드 /지현영_서울대학교 환경에너지 법정책센터_프로필라운드.png: PNG 18.86MB → JPG 1.93MB (saved 16.93MB, 89.7%)
material/[2025 서밋] 참가자프로필 라운드 /유종태_주식회사 유뱃_프로필라운드.png: PNG 14.45MB → JPG 2.14MB (saved 12.31MB, 85.1%)
material/[2025 서밋] 참가자프로필 라운드 /조현익_카카오벤처스_프로필라운드.png: PNG 3.75MB → JPG 1.24MB (saved 2.51MB, 66.8%)
material/[2025 서밋] 참가자프로필 라운드 /이희제_카카오_프로필라운드.png: PNG 2.12MB → JPG .79MB (saved 1.33MB, 62.5%)
material/[2025 서밋] 참가자프로필 라운드 /이학종_소풍벤처스_프로필라운드.png: PNG 3.03MB → JPG 1.10MB (saved 1.93MB, 63.4%)
material/[2025 서밋] 참가자프로필 라운드 /한승훈_베이징금문_프로필라운드.png: PNG .30MB → JPG .33MB (saved -.03MB, -9.7%)
material/[2025 서밋] 참가자프로필 라운드 /이원재_LAB2050_프로필라운드.png: PNG .15MB → JPG .17MB (saved -.02MB, -11.7%)
material/[2025 서밋] 참가자프로필 라운드 /홍종호_서울대 환경대학원_프로필라운드.png: PNG 5.13MB → JPG 1.84MB (saved 3.29MB, 64.0%)
material/[2025 서밋] 참가자프로필 라운드 /박수정_라이브데이터_프로필라운드.png: PNG 4.77MB → JPG 1.59MB (saved 3.18MB, 66.5%)
material/[2025 서밋] 참가자프로필 라운드 /백승주_소풍벤처스_프로필라운드.png: PNG 7.04MB → JPG 1.92MB (saved 5.12MB, 72.6%)
material/[2025 서밋] 참가자프로필 라운드 /이재형_제주창조경제혁신센터_프로필라운드.png: PNG 7.97MB → JPG 1.73MB (saved 6.24MB, 78.2%)
material/[2025 서밋] 참가자프로필 라운드 /강병삼_전 제주시장님_프로필라운드.png: PNG 9.26MB → JPG 1.83MB (saved 7.43MB, 80.2%)
material/[2025 서밋] 참가자프로필 라운드 /박성현_리벨리온_프로필라운드.png: PNG .20MB → JPG .22MB (saved -.02MB, -11.7%)
material/[2025 서밋] 참가자프로필 라운드 /김주진_기후솔루션_프로필라운드.png: PNG 5.35MB → JPG 1.92MB (saved 3.43MB, 64.0%)
material/[2025 서밋] 참가자프로필 라운드 /김성훈_법무법인미션_프로필라운드.png: PNG 3.97MB → JPG 1.38MB (saved 2.59MB, 65.1%)
material/[2025 서밋] 참가자프로필 라운드 /엄윤미_아산나눔재단_프로필라운드.png: PNG 3.47MB → JPG 1.24MB (saved 2.23MB, 64.2%)
material/[2025 서밋] 참가자프로필 라운드 /김혜애_경기환경에너지진흥원_프로필라운드.png: PNG 6.39MB → JPG 2.13MB (saved 4.26MB, 66.5%)
material/[2025 서밋] 참가자프로필 라운드 /최지영_코스포_프로필라운드.png: PNG .08MB → JPG .10MB (saved -.02MB, -28.9%)
material/[2025 서밋] 참가자프로필 라운드 /김시원_더버터_프로필라운드.png: PNG 6.18MB → JPG .95MB (saved 5.23MB, 84.6%)
material/[2025 서밋] 참가자프로필 라운드 /황민호_카카오_프로필라운드.png: PNG 13.00MB → JPG 2.22MB (saved 10.78MB, 82.9%)
material/[2025 서밋] 참가자프로필 라운드 /이유진_대통령실_프로필라운드.png: PNG .35MB → JPG .39MB (saved -.04MB, -10.9%)
material/[2025 서밋] 참가자프로필 라운드 /문숙희_카카오임팩트_프로필라운드.png: PNG 12.20MB → JPG 2.16MB (saved 10.04MB, 82.2%)
material/[2025 서밋] 참가자프로필 라운드 /김정빈_수퍼빈_프로필라운드.png: PNG 10.44MB → JPG 1.69MB (saved 8.75MB, 83.7%)
material/[2025 서밋] 참가자프로필 라운드 /허여나_아산나눔재단_프로필라운드png.png: PNG 10.48MB → JPG 1.50MB (saved 8.98MB, 85.6%)
material/summit logo bl.png: PNG 0MB → JPG 0MB (saved 0MB, 43.4%)

===========================================
SUMMARY
===========================================
Processed: 118 PNG files
Skipped: 0 files
Original total (PNG): 806.90MB
Compressed total (JPG): 181.30MB
Total savings: 625.60MB (77.5%)
===========================================
